Periodo,Tasa Natalidad bruta,Población residente total,Población extranjera total,Esperanza de vida,Edad media de maternidad,Edad media de nupcialidad,Tasa bruta de nupcialidad,Número total de divorcios,Número total de separaciones,Tasa de empleo,Tasa de paro,Salario medio bruto en mujeres,Salario medio bruto en hombres,Salario mediano en mujeres,Salario mediano en hombres,Índice de precios de vivienda,Media anual del precio de vivienda,IPC
2009-12-31,10.65,46486621.0,5648671.0,81.66,31.04,33.6,3.78,98359,106166,48.8,18.66,19502.02,25001.05,16433.14,20730.71,136.313,137.483,87.031
2010-12-31,10.42,46667175.0,5747734.0,82.07,31.2,34.1,3.62,102933,110321,48.13,20.11,19735.22,25479.74,16536.1,21206.99,133.718,134.745,89.631
2011-12-31,10.07,46818216.0,5751487.0,82.25,31.44,34.54,3.46,103604,110651,46.69,22.56,19767.59,25667.89,16796.41,21487.99,118.782,124.829,91.762
2012-12-31,9.7,46712650.0,5736258.0,82.26,31.56,34.77,3.56,104262,110764,44.71,25.77,19537.33,25682.05,16524.51,21425.14,103.593,107.678,94.394
2013-12-31,9.11,46495744.0,5546238.0,82.77,31.67,35.34,3.32,95427,100437,44.46,25.73,19514.58,25675.17,16452.43,21371.13,95.512,96.266,94.632
2014-12-31,9.18,46425722.0,5023487.0,82.91,31.78,35.41,3.45,100746,105893,45.61,23.7,19744.82,25727.24,16771.32,21528.5,97.194,96.553,93.646
2015-12-31,9.02,46418884.0,4729644.0,82.67,31.9,35.8,3.59,96562,101357,47.01,20.9,20051.58,25992.76,16825.11,21740.88,101.305,100.0,93.663
2016-12-31,8.8,46497393.0,4618581.0,83.08,32.0,36.1,3.73,96824,101294,47.97,18.63,20131.41,25924.43,16831.58,21626.0,105.848,104.664,95.132
2017-12-31,8.41,46645070.0,4572807.0,83.05,32.08,36.4,3.68,9796,102341,49.07,16.55,20607.85,26391.84,17214.6,21970.34,113.457,111.137,96.19
2018-12-31,7.94,46918951.0,4734691.0,83.15,32.19,36.73,3.54,95254,99444,50.14,14.45,21011.89,26738.19,17467.43,22241.88,120.954,118.595,97.329
2019-12-31,7.62,47318050.0,5036878.0,83.53,32.23,37.31,3.51,91645,95320,50.64,13.78,21682.02,26934.38,17961.93,22368.07,125.32,124.597,98.096
2020-12-31,7.19,47400798.0,5434153.0,82.28,32.31,38.86,1.91,772,80015,48.81,16.13,22467.48,27642.52,18556.68,22774.1,127.179,127.232,97.574
2021-12-31,7.1,47486727.0,5440148.0,83.03,32.59,38.09,3.11,86851,90582,50.67,13.44,23175.95,28388.69,19162.47,23490.62,135.291,131.928,103.965
2022-12-31,6.88,48085361.0,5542932.0,83.08,32.61,37.95,3.74,81302,84551,50.82,12.99,23884.420000000002,29134.859999999993,19768.260000000002,24207.14,142.666,141.675,109.899
2023-12-31,6.61,48619695.0,5645716.000000001,83.77,32.59,38.21,3.55,76685,80065,51.89,11.8,24614.547353459082,29900.642376227985,20393.20105537543,24945.515570878928,148.69,147.282,113.308
